Country,Code,Value
Aruba,ABW,1212578720
Afghanistan,AFG,9694989381
Angola,AGO,13781988140
Albania,ALB,4817386149
United Arab Emirates,ARE,1.07E+11
Argentina,ARG,39403734630
Armenia,ARM,2615530571
Antigua and Barbuda,ATG,221808945.9
Australia,AUS,43012629265
Austria,AUT,30439562425
Azerbaijan,AZE,7633754110
Burundi,BDI,90319165.54
Belgium,BEL,33296227565
Bangladesh,BGD,43171735336
Bulgaria,BGR,37860001349
Bahrain,BHR,2523073657
"Bahamas, The",BHS,2382077961
Bosnia and Herzegovina,BIH,8707117939
Belarus,BLR,7468343228
Belize,BLZ,348090076
Bolivia,BOL,5247234669
Brazil,BRA,3.56E+11
Barbados,BRB,772118649.5
Brunei Darussalam,BRN,3997356505
Bhutan,BTN,1510313610
Botswana,BWA,4940893803
Central African Rep.,CAF,350305401.8
Canada,CAN,90428136419
Switzerland,CHE,1.08E+12
Chile,CHL,39166118109
China,CHN,3.36E+12
Cameroon,CMR,3459329761
Dem. Rep. Congo,COD,665272095
"Congo, Rep.",COG,988316008
Colombia,COL,58499477957
Comoros,COM,294339897.9
Cabo Verde,CPV,735084797.4
Costa Rica,CRI,7231533677
Cuba,CUB,144018160
Cayman Islands,CYM,216800000
Cyprus,CYP,1237326347
Czech Republic,CZE,1.66E+11
Germany,DEU,2.68E+11
Djibouti,DJI,686339280.9
Dominica,DMA,176646182.4
Denmark,DNK,72823350927
Dominican Republic,DOM,10844812012
Algeria,DZA,59434389110
Ecuador,ECU,6569460539
Egypt,EGY,38972812937
Euro area,EMU,1.08E+12
Eritrea,ERI,191694416.4
Spain,ESP,81287702461
Estonia,EST,1996892749
Ethiopia,ETH,3046114359
Finland,FIN,13479975777
Fiji,FJI,1043304264
France,FRA,2.24E+11
"Micronesia, Fed. Sts.",FSM,397158244.6
Gabon,GAB,1371973833
United Kingdom,GBR,1.80E+11
Georgia,GEO,3913274195
Ghana,GHA,7884091539
Guinea,GIN,1417701131
"Gambia, The",GMB,191773261
Equatorial Guinea,GNQ,40816834.6
Greece,GRC,11931180005
Grenada,GRD,293320432.2
Guatemala,GTM,18463562202
Guyana,GUY,680986959.7
"Hong Kong SAR, China",HKG,4.92E+11
Honduras,HND,8138457728
Croatia,HRV,23253815166
Haiti,HTI,2370915012
Hungary,HUN,41349416013
Indonesia,IDN,1.36E+11
India,IND,5.90E+11
Ireland,IRL,7463044895
Iran,IRN,7685456407
Iraq,IRQ,65340042658
Iceland,ISL,6419314385
Israel,ISR,1.73E+11
Italy,ITA,2.11E+11
Jamaica,JAM,4081089664
Jordan,JOR,15543454210
Japan,JPN,1.39E+12
Kazakhstan,KAZ,35638096635
Kenya,KEN,8297263559
Kyrgyz Republic,KGZ,2811615193
Cambodia,KHM,21328475093
St. Kitts and Nevis,KNA,362679148.4
South Korea,KOR,4.43E+11
Kuwait,KWT,52918606999
Lao PDR,LAO,1392600619
Lebanon,LBN,42440403087
Liberia,LBR,538124440.8
Libya,LBY,84663589517
St. Lucia,LCA,231361279
Sri Lanka,LKA,5663994385
Lesotho,LSO,774095190.5
Lithuania,LTU,4846519050
Luxembourg,LUX,1188258813
Latvia,LVA,5289640348
"Macao SAR, China",MAC,25144935000
Morocco,MAR,35997639773
Moldova,MDA,3783579238
Madagascar,MDG,1980766598
Maldives,MDV,994584647.6
Mexico,MEX,1.99E+11
North Macedonia,MKD,4126254084
Malta,MLT,939827082.4
Myanmar,MMR,7670070785
Montenegro,MNE,2134379583
Mongolia,MNG,4545276809
Mozambique,MOZ,4091458221
Mauritania,MRT,1493184646
Mauritius,MUS,7291065336
Malawi,MWI,574988493.6
Malaysia,MYS,1.08E+11
Namibia,NAM,2171154726
Nigeria,NGA,36729565818
Nicaragua,NIC,3211903362
Netherlands,NLD,53971404675
Norway,NOR,75258813465
Nepal,NPL,11467799302
New Zealand,NZL,13733288689
Oman,OMN,15007356725
Pakistan,PAK,18521734364
Panama,PAN,9613847649
Peru,PER,67711463444
Philippines,PHL,1.10E+11
Papua New Guinea,PNG,2338947947
Poland,POL,1.54E+11
Portugal,PRT,29459811843
Paraguay,PRY,9202411639
West Bank and Gaza,PSE,697074683.3
Qatar,QAT,40972506521
Romania,ROU,52190562712
Russia,RUS,5.97E+11
Rwanda,RWA,1806068099
Saudi Arabia,SAU,4.73E+11
Sudan,SDN,177933851.8
Singapore,SGP,3.70E+11
Solomon Islands,SLB,660995997.3
Sierra Leone,SLE,707703898.1
El Salvador,SLV,3082859548
San Marino,SMR,781804749.8
Serbia,SRB,16586724161
S. Sudan,SSD,378281747
Sao Tome and Principe,STP,75287733.68
Suriname,SUR,584929135.7
Slovak Republic,SVK,9343714002
Slovenia,SVN,1311110696
Sweden,SWE,58260344659
Eswatini,SWZ,545564174.1
Seychelles,SYC,559681941.8
Chad,TCD,310032032.9
Thailand,THA,2.58E+11
Tajikistan,TJK,1466304531
Timor-Leste,TLS,656523631.7
Tonga,TON,302005314.3
Trinidad and Tobago,TTO,7071772919
Tunisia,TUN,9810630875
Turkey,TUR,93511562720
Tanzania,TZA,5049646420
Uganda,UGA,3358514650
Ukraine,UKR,29137541200
Uruguay,URY,16250371651
United States of America,USA,6.28E+11
Uzbekistan,UZB,34903111839
St. Vincent and the Grenadines,VCT,205195146.8
"Venezuela, RB",VEN,9794062065
Vietnam,VNM,94833616150
Vanuatu,VUT,613636752.1
Samoa,WSM,277056415.2
Kosovo,XKX,1095367617
Yemen,YEM,5344296755
South Africa,ZAF,55008491996
Zambia,ZMB,1203448374
Zimbabwe,ZWE,33405021.01
